Name,CASRN
Dichlorobenzene,106-46-7
"1,2-Dichloroethane",107-06-2
"trans-1,2- Dichloroethylene",156-60-5
o-Dichlorobenzene,95-50-1
"1,1,2-Trichloroethane",79-00-5
"1,2-Dichloropropane",78-87-5
"1,1-Dichloroethane",75-34-3
"Dibutyl phthalate (1,2-Benzene- dicarboxylic acid, 1,2- dibutyl ester)",84-74-2
"Butyl benzyl phthalate - 1,2-Benzene- dicarboxylic acid, 1- butyl 2(phenylmethyl) ester",85-68-7
"Di-ethylhexyl phthalate - (1,2-Benzene- dicarboxylic acid, 1,2- bis(2-ethylhexyl) ester",117-81-7
"Di-isobutyl phthalate - (1,2-Benzene- dicarboxylic acid, 1,2- bis-(2methylpropyl) ester)",84-69-5
Dicyclohexyl phthalate ,84-61-7
"Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)",26761-40-0
"Di-isodecyl phthalate (DIDP) - (1,2-benzenedicarboxylic acid 1,2-diisodecyl ester)",68515-49-1
"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",28553-12-0
"Di-isononyl phthalate (DINP) - (1,2-benzenedicarboxylic acid, 1,2-diisononyl ester)",68515-48-0
"4,4'-(1-Methylethylidene)bis[2, 6-dibromophenol] (TBBPA)",79-94-7
Tris(2-chloroethyl) phosphate (TCEP),115-96-8
"Phosphoric acid, triphenyl ester (TPP)",115-86-6
Ethylene dibromide,106-93-4
"1,3-Butadiene",106-99-0
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta [g]-2-benzopyran (HHCB)",1222-05-5
Formaldehyde,50-00-0
Phthalic anhydride,85-44-9
Octamethylcyclotetra- siloxane (D4),556-67-2
